,s,t,d,s
0,2,4,18.144436386317643,26.5
1,2,5,30.90207943865385,35.0
2,2,6,19.374533817987924,35.0
3,2,7,20.32292779923476,26.5
4,2,8,20.785748579595865,26.5
5,2,9,17.927379119688553,35.0
6,2,10,9.060086321903192,35.0
7,2,11,13.939382394467088,35.0
8,2,12,18.783284843065292,26.5
9,2,13,19.393017487725427,26.5
10,2,14,16.154095472422604,26.5
11,2,16,18.935072713974236,35.0
12,2,17,16.3647944540819,26.5
13,2,18,29.891365186546643,26.5
14,2,19,15.600997527989897,35.0
15,2,20,28.269766915493353,26.5
16,2,21,12.439553877358017,35.0
17,2,22,14.000933010280308,27.5
18,2,24,24.462790872371244,26.5
19,2,25,15.489250209580275,26.5
20,2,26,14.024600040756082,26.5
21,2,29,11.033059573750576,35.0
22,2,30,1.7150410242760397,35.0
23,2,31,1661.0890902077094,35.0
24,2,32,27.55259529513624,26.5
25,2,33,16.917040525061353,26.5
26,2,34,15.898466909427736,26.5
27,2,35,9.421623255997293,26.5
28,2,36,13.722706379448233,26.5
29,2,37,12.611935927040944,26.5
30,2,38,12.972357519701985,35.0
31,2,39,7.061293987447126,35.0
32,2,40,15.790886171971076,26.5
33,2,42,23.931048958851974,26.5
34,2,43,22.69846369012072,26.5
35,2,45,18.45368350123081,26.5
36,2,46,27.382152844659924,35.0
37,2,48,17.923775001786883,26.5
38,2,49,14.522891402074906,26.5
39,2,50,21.959036795487055,26.5
40,2,51,30.015199891917117,26.5
41,2,52,16.521156763891895,26.5
42,2,53,20.435641751427095,26.5
43,2,54,16.819365571898718,26.5
44,2,55,13.60302574847819,35.0
45,2,56,16.03331093903895,26.5
46,2,57,16.03331093903895,26.5
47,2,58,26.183464014848187,26.5
48,2,59,26.548710532351066,26.5
49,2,60,26.311678081550852,26.5
50,2,61,11.781301777481483,26.5
51,2,62,11.736878773599045,26.5
52,2,63,10.056904308714559,27.5
53,2,64,19.772494467712978,35.0
54,2,65,16.044807371346092,26.5
55,2,66,16.487944962751005,26.5
56,2,67,14.990325631045794,27.5
57,2,68,20.15841549345185,26.5
58,2,69,25.470570168051577,26.5
59,2,70,17.66067397850725,26.5
60,2,73,17.60873336873523,35.0
61,2,74,23.897593341246104,26.5
62,2,75,23.289645946934332,26.5
63,2,76,8.02616258798875,27.5
64,2,77,8.400989020754384,27.5
65,2,78,27.24598228561411,26.5
66,2,79,18.928517018288513,26.5
67,2,80,16.361254391457525,26.5
68,2,81,31.634059508681425,27.5
69,2,82,15.182078923156405,26.5
