,l,ep,poi
0,2,0.1513353115727003,0.6064947467626611
1,4,0.9050445103857567,0.8958776975395875
2,5,0.04154302670623145,0.6064947467626611
3,6,0.21068249258160238,0.7277936961151933
4,7,0.8338278931750742,0.7375517441455234
5,8,0.7863501483679525,0.702257075294633
6,9,0.142433234421365,0.6498157998429249
7,10,0.19881305637982197,0.8783343566456381
8,11,0.31750741839762614,0.6064947467626611
9,12,0.7952522255192879,1.0
10,13,0.7626112759643917,0.8683300517337957
11,14,0.456973293768546,0.6689280292322317
12,16,0.11572700296735905,0.6064947467626611
13,17,0.9614243323442137,0.7486872951889225
14,18,0.32344213649851633,0.7501382392573718
15,19,0.0771513353115727,0.6531481888679808
16,20,0.35311572700296734,0.669235582718315
17,21,0.4094955489614243,0.6462648937930842
18,22,0.37388724035608306,0.6321212852813869
19,24,0.6735905044510386,0.8242731276603794
20,25,0.8902077151335311,0.7866784845645309
21,26,0.5905044510385756,0.6790104227686987
22,29,0.20474777448071216,0.6562074308539372
23,30,0.1394658753709199,0.8086596621480499
24,31,0.0,0.6064947467626611
25,32,0.33827893175074186,0.6248733752686525
26,33,0.8813056379821959,0.7967523817160908
27,34,0.9406528189910979,0.6703362991173092
28,35,0.7893175074183977,0.634062689521648
29,36,0.9703264094955489,0.767594913871493
30,37,0.9821958456973294,0.6950838672398574
31,38,0.10089020771513353,0.7102372694905879
32,39,0.6023738872403561,0.6563962132607725
33,40,0.8545994065281899,0.7597605671062607
34,42,0.7032640949554896,0.8002994589645951
35,43,0.7833827893175074,0.8927341497513573
36,45,0.8605341246290801,0.8707027986769229
37,46,0.14836795252225518,0.6064947467626611
38,48,0.9020771513353115,0.8578940863158399
39,49,0.9436201780415431,0.7487258154897737
40,50,0.7804154302670623,0.8335959811397067
41,51,0.228486646884273,0.6550143265036741
42,52,0.8605341246290801,0.7633468366517958
43,53,0.4332344213649852,0.6064947467626611
44,54,0.8516320474777448,0.8086596621480499
45,55,0.21068249258160238,0.6118619572008327
46,56,0.543026706231454,0.7668324383797789
47,57,0.543026706231454,0.45487106007199585
48,58,0.258160237388724,0.6064947467626611
49,59,0.4094955489614243,0.6064947467626611
50,60,0.44510385756676557,0.6064947467626611
51,61,0.8902077151335311,0.6931368535296835
52,62,0.8783382789317508,0.635653148002674
53,63,0.5786350148367952,0.6353754492205002
54,64,0.05637982195845697,0.6642561510718444
55,65,0.9020771513353115,0.8294312569190361
56,66,0.9287833827893175,0.9561676136247196
57,67,0.4035608308605341,0.6931368535296835
58,68,0.8486646884272997,0.8491884649662719
59,69,0.5786350148367952,0.6675805483156222
60,70,0.6261127596439169,0.9151351199517851
61,73,0.12462908011869436,0.6421709080872022
62,74,0.6913946587537092,0.8238526618343016
63,75,0.6943620178041543,0.8184703933445575
64,76,0.5845697329376854,0.6446814530627729
65,77,0.6320474777448071,0.6540629624685439
66,78,0.3827893175074184,0.6703362991173092
67,79,0.8635014836795252,0.872962578089034
68,80,0.9614243323442137,0.8022161588543365
69,81,0.20178041543026706,0.6298214675120736
70,82,0.7626112759643917,0.8349980490095037
71,85,0.6884272997032641,0.6289575151388154
72,86,0.06528189910979229,0.636224881503026
73,87,0.798219584569733,0.8420389854119685
74,88,0.8100890207715133,0.8837971943235211
75,89,0.655786350148368,0.6518401483047533
76,90,0.827893175074184,0.8264356847515949
77,91,0.5133531157270029,0.6272651145947746
78,92,0.26706231454005935,0.7766091270261507
79,94,0.3353115727002967,0.6671442214389273
80,95,0.4540059347181009,0.7599452247423234
81,97,0.9347181008902077,0.8059864073683124
82,98,0.19584569732937684,0.632864083657537
83,99,0.04154302670623145,0.0
84,100,0.8189910979228486,0.8517071988339134
85,101,0.026706231454005934,0.68659782670686
86,102,0.7181008902077152,0.6064947467626611
87,106,0.8753709198813057,0.827038291260536
88,107,0.857566765578635,0.8298087101376734
89,108,0.3115727002967359,0.6064947467626611
