,id,location_name,lat,lon,max_speed,min_speed,average_speed
0,2,"Queens , Jamaica Bay",40.6039936,-73.8354124,35.0,35.0,35.0
1,4,"Manhattan , Alphabet City",40.7251022,-73.9795833,81.0,18.0,35.43967868299698
2,5,"Staten Island , Arden Heights",40.5589568,-74.19649520491512,35.0,35.0,35.0
3,6,"Staten Island , Arrochar/Fort Wadsworth",40.6028866,-74.064902,35.0,35.0,35.0
4,7,"Queens , Astoria",40.7720145,-73.9302673,81.0,18.0,36.05064829821718
5,8,"Queens , Astoria Park",40.7788277,-73.92265804019786,81.0,18.0,36.03974713878445
6,9,"Queens , Auburndale",40.7614516,-73.7897239,35.0,35.0,35.0
7,10,"Queens , Baisley Park",40.67592055,-73.78496487588887,35.0,35.0,35.0
8,11,"Brooklyn , Bath Beach",40.6018495,-74.000501,40.0,35.0,37.142857142857146
9,12,"Manhattan , Battery Park",40.703030749999996,-74.01578792289277,81.0,18.0,35.9974711229581
10,13,"Manhattan , Battery Park City",40.7110166,-74.0169369,81.0,18.0,36.077400797542005
11,14,"Brooklyn , Bay Ridge",40.6320062,-74.0232101,64.0,18.0,35.74516800475766
12,16,"Queens , Bayside",40.7684351,-73.7770774,35.0,35.0,35.0
13,17,"Brooklyn , Bedford",40.7187387,-73.9569017,81.0,18.0,35.37531729109554
14,18,"Bronx , Bedford Park",40.8700999,-73.8856912,81.0,18.0,36.19808467741935
15,19,"Queens , Bellerose",40.7190882,-73.7296367,35.0,35.0,35.0
16,20,"Bronx , Belmont",40.8552778,-73.8863889,81.0,18.0,35.87849499482223
17,21,"Brooklyn , Bensonhurst East",40.6128203,-73.9823123,40.0,35.0,38.18181818181818
18,22,"Brooklyn , Bensonhurst West",40.612782,-74.0008633,56.0,20.0,35.25675675675676
19,24,"Manhattan , Bloomingdale",40.7997764,-73.9677716,81.0,18.0,36.07040870596899
20,25,"Brooklyn , Boerum Hill",40.68562615,-73.98417065807277,81.0,18.0,35.935660250168524
21,26,"Brooklyn , Borough Park",40.633993,-73.9968059,64.0,18.0,36.101817334575955
22,29,"Brooklyn , Brighton Beach",40.577621,-73.961376,35.0,35.0,35.0
23,30,"Queens , Broad Channel",40.6080187,-73.8158007,35.0,35.0,35.0
24,31,"Bronx , Bronx Park",44.950874999999996,-93.3676488106517,35.0,35.0,35.0
25,32,"Bronx , Bronxdale",40.8506558,-73.8665241,81.0,18.0,35.88684728602231
26,33,"Brooklyn , Brooklyn Heights",40.696084850000005,-73.9950278391265,81.0,18.0,35.97437310553872
27,34,"Brooklyn , Brooklyn Navy Yard",40.6997716,-73.9753359,81.0,18.0,35.97898230088496
28,35,"Brooklyn , Brownsville",40.665306,-73.9124755,64.0,18.0,35.59024390243903
29,36,"Brooklyn , Bushwick North",40.7049856,-73.9289062,81.0,18.0,35.20024132730015
30,37,"Brooklyn , Bushwick South",40.6942867,-73.92588360783884,81.0,18.0,36.025135570863256
31,38,"Queens , Cambria Heights",40.6945474,-73.7384653,35.0,35.0,35.0
32,39,"Brooklyn , Canarsie",40.643715,-73.9006921,35.0,35.0,35.0
33,40,"Brooklyn , Carroll Gardens",40.6784201,-73.9948021,81.0,18.0,36.20636910732197
34,42,"Manhattan , Central Harlem North",40.7992183,-73.9549001,81.0,18.0,36.05268211229389
35,43,"Manhattan , Central Park",40.7827725,-73.9653627406542,81.0,18.0,36.05049877731631
36,45,"Manhattan , Chinatown",40.7164913,-73.9962504,81.0,18.0,35.56342982354976
37,46,"Bronx , City Island",40.84743325,-73.78642953814102,35.0,35.0,35.0
38,48,"Manhattan , Clinton East",40.7181499,-73.9854353,81.0,18.0,35.29428989751098
39,49,"Brooklyn , Clinton Hill",40.6897222,-73.9652778,81.0,18.0,35.883875106929
40,50,"Manhattan , Clinton West",40.7596864,-73.9956133,81.0,18.0,35.607414081606386
41,51,"Bronx , Co-Op City",40.8738889,-73.8294444,81.0,18.0,38.0836400133824
42,52,"Brooklyn , Cobble Hill",40.687547,-73.9973352,81.0,18.0,35.922961518265694
43,53,"Queens , College Point",40.7876014,-73.8459682,81.0,18.0,34.6281519668273
44,54,"Brooklyn , Columbia Street",40.6878211,-74.0013527,81.0,18.0,35.94852664104303
45,55,"Brooklyn , Coney Island",40.57580705,-73.99217527476975,35.0,35.0,35.0
46,56,"Queens , Corona",40.7469593,-73.8601456,81.0,18.0,34.58096911875471
47,57,"Queens , Corona",40.7469593,-73.8601456,81.0,18.0,34.58096911875471
48,58,"Bronx , Country Club",40.8391667,-73.8197222,81.0,18.0,35.810507674144034
49,59,"Bronx , Crotona Park",40.83881315,-73.89239847631723,81.0,18.0,35.87878342638848
50,60,"Bronx , Crotona Park East",40.8366261,-73.8925344,81.0,18.0,35.893973294839405
51,61,"Brooklyn , Crown Heights North",40.6696946,-73.944948,81.0,18.0,36.39467417189868
52,62,"Brooklyn , Crown Heights South",40.6694032,-73.9445802,81.0,18.0,36.36932809773124
53,63,"Brooklyn , Cypress Hills",40.6899088,-73.8726597,64.0,20.0,34.854885057471265
54,64,"Queens , Douglaston",40.768713,-73.7470765,35.0,35.0,35.0
